Local,Resultado_L,Visitante,Estado,Torneo,Año,Mes,Día,Fecha
Boca Juniors,1 - 0,Gimnasia La Plata,Finalizado,Liga Profesional de Argentina,2020,3,7,2020-03-07
Colón (Santa Fe),0 - 4,Boca Juniors,Finalizado,Liga Profesional de Argentina,2020,2,28,2020-02-28
Boca Juniors,3 - 0,Godoy Cruz Antonio Tomba,Finalizado,Liga Profesional de Argentina,2020,2,23,2020-02-23
Central Córdoba (Santiago del Estero),0 - 4,Boca Juniors,Finalizado,Liga Profesional de Argentina,2020,2,16,2020-02-16
Boca Juniors,2 - 0,Atlético Tucumán,Finalizado,Liga Profesional de Argentina,2020,2,8,2020-02-08
Talleres (Córdoba),1 - 2,Boca Juniors,Finalizado,Liga Profesional de Argentina,2020,2,2,2020-02-02
Boca Juniors,0 - 0,Independiente,Finalizado,Liga Profesional de Argentina,2020,1,26,2020-01-26
Rosario Central,1 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina,2020,12,8,2020-12-08
Boca Juniors,1 - 1,Argentinos Juniors,Finalizado,Liga Profesional de Argentina,2020,11,30,2020-11-30
Boca Juniors,2 - 0,Unión (Santa Fe),Finalizado,Liga Profesional de Argentina,2020,11,24,2020-11-24
Vélez Sarsfield,0 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina,2020,11,10,2020-11-10
Boca Juniors,5 - 1,Arsenal Sarandi,Finalizado,Liga Profesional de Argentina,2020,11,3,2020-11-03
Lanús,2 - 1,Boca Juniors,Finalizado,Liga Profesional de Argentina,2020,10,31,2020-10-31
Boca Juniors,1 - 0Vuelta · River Plate gana 2-1 en marcador global,River Plate,Finalizado,CONMEBOL Libertadores,2020,10,22,2020-10-22
Boca Juniors,0 - 1,Racing Club,Finalizado,Liga Profesional de Argentina,2020,10,18,2020-10-18
Defensa y Justicia,0 - 1,Boca Juniors,Finalizado,Liga Profesional de Argentina,2020,10,6,2020-10-06
River Plate,2 - 0Ida,Boca Juniors,Finalizado,CONMEBOL Libertadores,2020,10,1,2020-10-01
Boca Juniors,1 - 1,Newell's Old Boys,Finalizado,Liga Profesional de Argentina,2020,9,28,2020-09-28
San Lorenzo,0 - 2,Boca Juniors,Finalizado,Liga Profesional de Argentina,2020,9,21,2020-09-21
Boca Juniors,1 - 0,Estudiantes de La Plata,Finalizado,Liga Profesional de Argentina,2020,9,15,2020-09-15
River Plate,0 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina,2020,9,1,2020-09-01
Boca Juniors,0 - 0Vuelta,Liga de Quito,Finalizado,CONMEBOL Libertadores,2020,8,28,2020-08-28
Banfield,0 - 1,Boca Juniors,Finalizado,Liga Profesional de Argentina,2020,8,25,2020-08-25
Liga de Quito,0 - 3Ida,Boca Juniors,Finalizado,CONMEBOL Libertadores,2020,8,21,2020-08-21
Boca Juniors,2 - 0,Aldosivi,Finalizado,Liga Profesional de Argentina,2020,8,18,2020-08-18
Boca Juniors,1 - 1Almagro ganó 3-1 en penales,Almagro,Final - Pen,Copa Argentina,2020,8,13,2020-08-13
Patronato,0 - 2,Boca Juniors,Finalizado,Liga Profesional de Argentina,2020,8,4,2020-08-04
Boca Juniors,2 - 0Vuelta,Athletico-PR,Finalizado,CONMEBOL Libertadores,2020,7,31,2020-07-31
Boca Juniors,0 - 0,Huracán,Finalizado,Liga Profesional de Argentina,2020,7,28,2020-07-28
Athletico-PR,0 - 1Ida,Boca Juniors,Finalizado,CONMEBOL Libertadores,2020,7,24,2020-07-24
Tigre,2 - 0,Boca Juniors,Finalizado,Copa Superliga de Argentina,2020,6,2,2020-06-02
Boca Juniors,1 - 0Vuelta,Argentinos Juniors,Finalizado,Copa Superliga de Argentina,2020,5,26,2020-05-26
Argentinos Juniors,0 - 0Ida,Boca Juniors,Finalizado,Copa Superliga de Argentina,2020,5,19,2020-05-19
Boca Juniors,0 - 0Vuelta · Boca Juniors ganó 5-4 en penales,Vélez Sarsfield,Final - Pen,Copa Superliga de Argentina,2020,5,16,2020-05-16
Vélez Sarsfield,0 - 0Ida,Boca Juniors,Finalizado,Copa Superliga de Argentina,2020,5,12,2020-05-12
Boca Juniors,2 - 1,Athletico-PR,Finalizado,CONMEBOL Libertadores,2020,5,9,2020-05-09
Boca Juniors,3 - 1Vuelta · Boca Juniors gana 5-2 en marcador global,Godoy Cruz Antonio Tomba,Finalizado,Copa Superliga de Argentina,2020,5,5,2020-05-05
Godoy Cruz Antonio Tomba,1 - 2Ida,Boca Juniors,Finalizado,Copa Superliga de Argentina,2020,4,28,2020-04-28
Deportes Tolima,2 - 2,Boca Juniors,Finalizado,CONMEBOL Libertadores,2020,4,24,2020-04-24
Boca Juniors,2 - 0,Estudiantes de Río Cuarto,Finalizado,Copa Argentina,2020,4,19,2020-04-19
Boca Juniors,4 - 0,Jorge Wilstermann,Finalizado,CONMEBOL Libertadores,2020,4,10,2020-04-10
Athletico-PR,3 - 0,Boca Juniors,Finalizado,CONMEBOL Libertadores,2020,4,2,2020-04-02
Boca Juniors,3 - 0,Deportes Tolima,Finalizado,CONMEBOL Libertadores,2020,3,12,2020-03-12
Jorge Wilstermann,0 - 0,Boca Juniors,Finalizado,CONMEBOL Libertadores,2020,3,5,2020-03-05
