0,1,2,3,4,5
,,,,,
"Sáb., 7 de Mar.",Boca Juniors,1 - 0,Gimnasia La Plata,Finalizado,Liga Profesional de Argentina
,,,,,
"Vie., 28 de Feb.",Colón (Santa Fe),0 - 4,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Dom., 23 de Feb.",Boca Juniors,3 - 0,Godoy Cruz Antonio Tomba,Finalizado,Liga Profesional de Argentina
"Dom., 16 de Feb.",Central Córdoba (Santiago del Estero),0 - 4,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Sáb., 8 de Feb.",Boca Juniors,2 - 0,Atlético Tucumán,Finalizado,Liga Profesional de Argentina
"Dom., 2 de Feb.",Talleres (Córdoba),1 - 2,Boca Juniors,Finalizado,Liga Profesional de Argentina
,,,,,
"Dom., 26 de Ene.",Boca Juniors,0 - 0,Independiente,Finalizado,Liga Profesional de Argentina
,,,,,
"Dom., 8 de Dic.",Rosario Central,1 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina
,,,,,
"Sáb., 30 de Nov.",Boca Juniors,1 - 1,Argentinos Juniors,Finalizado,Liga Profesional de Argentina
"Dom., 24 de Nov.",Boca Juniors,2 - 0,Unión (Santa Fe),Finalizado,Liga Profesional de Argentina
"Dom., 10 de Nov.",Vélez Sarsfield,0 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Dom., 3 de Nov.",Boca Juniors,5 - 1,Arsenal Sarandi,Finalizado,Liga Profesional de Argentina
,,,,,
"Jue., 31 de Oct.",Lanús,2 - 1,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Mar., 22 de Oct.",Boca Juniors,1 - 0Vuelta · River Plate gana 2-1 en marcador global,River Plate,Finalizado,CONMEBOL Libertadores
"Vie., 18 de Oct.",Boca Juniors,0 - 1,Racing Club,Finalizado,Liga Profesional de Argentina
"Dom., 6 de Oct.",Defensa y Justicia,0 - 1,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Mar., 1 de Oct.",River Plate,2 - 0Ida,Boca Juniors,Finalizado,CONMEBOL Libertadores
,,,,,
"Sáb., 28 de Sep.",Boca Juniors,1 - 1,Newell's Old Boys,Finalizado,Liga Profesional de Argentina
"Sáb., 21 de Sep.",San Lorenzo,0 - 2,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Dom., 15 de Sep.",Boca Juniors,1 - 0,Estudiantes de La Plata,Finalizado,Liga Profesional de Argentina
"Dom., 1 de Sep.",River Plate,0 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina
,,,,,
"Mié., 28 de Ago.",Boca Juniors,0 - 0Vuelta,Liga de Quito,Finalizado,CONMEBOL Libertadores
"Dom., 25 de Ago.",Banfield,0 - 1,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Mié., 21 de Ago.",Liga de Quito,0 - 3Ida,Boca Juniors,Finalizado,CONMEBOL Libertadores
"Dom., 18 de Ago.",Boca Juniors,2 - 0,Aldosivi,Finalizado,Liga Profesional de Argentina
"Mar., 13 de Ago.",Boca Juniors,1 - 1Almagro ganó 3-1 en penales,Almagro,Final - Pen,Copa Argentina
"Dom., 4 de Ago.",Patronato,0 - 2,Boca Juniors,Finalizado,Liga Profesional de Argentina
,,,,,
"Mié., 31 de Jul.",Boca Juniors,2 - 0Vuelta,Athletico-PR,Finalizado,CONMEBOL Libertadores
"Dom., 28 de Jul.",Boca Juniors,0 - 0,Huracán,Finalizado,Liga Profesional de Argentina
"Mié., 24 de Jul.",Athletico-PR,0 - 1Ida,Boca Juniors,Finalizado,CONMEBOL Libertadores
,,,,,
"Dom., 2 de Jun.",Tigre,2 - 0,Boca Juniors,Finalizado,Copa Superliga de Argentina
,,,,,
"Dom., 26 de May.",Boca Juniors,1 - 0Vuelta,Argentinos Juniors,Finalizado,Copa Superliga de Argentina
"Dom., 19 de May.",Argentinos Juniors,0 - 0Ida,Boca Juniors,Finalizado,Copa Superliga de Argentina
"Jue., 16 de May.",Boca Juniors,0 - 0Vuelta · Boca Juniors ganó 5-4 en penales,Vélez Sarsfield,Final - Pen,Copa Superliga de Argentina
"Dom., 12 de May.",Vélez Sarsfield,0 - 0Ida,Boca Juniors,Finalizado,Copa Superliga de Argentina
"Jue., 9 de May.",Boca Juniors,2 - 1,Athletico-PR,Finalizado,CONMEBOL Libertadores
"Dom., 5 de May.",Boca Juniors,3 - 1Vuelta · Boca Juniors gana 5-2 en marcador global,Godoy Cruz Antonio Tomba,Finalizado,Copa Superliga de Argentina
,,,,,
"Dom., 28 de Abr.",Godoy Cruz Antonio Tomba,1 - 2Ida,Boca Juniors,Finalizado,Copa Superliga de Argentina
"Mié., 24 de Abr.",Deportes Tolima,2 - 2,Boca Juniors,Finalizado,CONMEBOL Libertadores
"Vie., 19 de Abr.",Boca Juniors,2 - 0,Estudiantes de Río Cuarto,Finalizado,Copa Argentina
"Mié., 10 de Abr.",Boca Juniors,4 - 0,Jorge Wilstermann,Finalizado,CONMEBOL Libertadores
"Mar., 2 de Abr.",Athletico-PR,3 - 0,Boca Juniors,Finalizado,CONMEBOL Libertadores
,,,,,
"Mar., 12 de Mar.",Boca Juniors,3 - 0,Deportes Tolima,Finalizado,CONMEBOL Libertadores
"Mar., 5 de Mar.",Jorge Wilstermann,0 - 0,Boca Juniors,Finalizado,CONMEBOL Libertadores
